Date,japan_2yr_yield,us_2yr_yield
2000-01-03,,6.384
2000-01-04,0.322,6.299
2000-01-05,0.298,6.358
2000-01-06,0.301,6.299
2000-01-07,0.333,6.307
2000-01-10,,6.359
2000-01-11,0.346,6.428
2000-01-12,0.396,6.471
2000-01-13,0.362,6.394
2000-01-14,0.345,6.43
2000-01-17,0.355,
2000-01-18,0.349,6.465
2000-01-19,0.347,6.448
2000-01-20,0.36,6.491
2000-01-21,0.343,6.457
2000-01-24,0.313,6.405
2000-01-25,0.293,6.432
2000-01-26,0.288,6.442
2000-01-27,0.291,6.506
2000-01-28,0.283,6.557
2000-01-31,0.333,6.591
2000-02-01,0.364,6.574
2000-02-02,0.394,6.591
2000-02-03,0.38,6.523
2000-02-04,0.344,6.617
2000-02-07,0.345,6.669
2000-02-08,0.359,6.678
2000-02-09,0.35,6.653
2000-02-10,0.355,6.661
2000-02-11,,6.644
2000-02-14,0.344,6.619
2000-02-15,0.333,6.628
2000-02-16,0.326,6.61
2000-02-17,0.333,6.672
2000-02-18,0.308,6.637
2000-02-21,0.295,
2000-02-22,0.304,6.55
2000-02-23,0.308,6.621
2000-02-24,0.331,6.521
2000-02-25,0.341,6.394
2000-02-28,0.324,6.512
2000-02-29,0.378,6.521
2000-03-01,0.378,6.504
2000-03-02,0.383,6.512
2000-03-03,0.406,6.495
2000-03-06,0.407,6.529
2000-03-07,0.423,6.486
2000-03-08,0.407,6.495
2000-03-09,0.418,6.477
2000-03-10,0.43,6.537
2000-03-13,0.43,6.511
2000-03-14,0.43,6.468
2000-03-15,0.435,6.494
2000-03-16,0.459,6.484
2000-03-17,0.482,6.484
2000-03-20,,6.51
2000-03-21,0.494,6.502
2000-03-22,0.459,6.475
2000-03-23,0.444,6.501
2000-03-24,0.463,6.623
2000-03-27,0.494,6.615
2000-03-28,0.492,6.597
2000-03-29,0.492,6.589
2000-03-30,0.472,6.484
2000-03-31,0.462,6.478
2000-04-03,0.452,6.418
2000-04-04,0.439,6.308
2000-04-05,0.426,6.299
2000-04-06,0.409,6.392
2000-04-07,0.404,6.366
2000-04-10,0.414,6.263
2000-04-11,0.414,6.331
2000-04-12,0.418,6.357
2000-04-13,0.464,6.347
2000-04-14,0.462,6.235
2000-04-17,0.415,6.316
2000-04-18,0.414,6.328
2000-04-19,0.413,6.319
2000-04-20,0.424,6.361
2000-04-21,0.416,
2000-04-24,0.404,6.387
2000-04-25,0.384,6.484
2000-04-26,0.373,6.501
2000-04-27,0.37,6.613
2000-04-28,0.376,6.676
2000-05-01,0.361,6.719
2000-05-02,0.356,6.71
2000-05-03,,6.746
2000-05-04,,6.754
2000-05-05,,6.824
2000-05-08,0.347,6.851
2000-05-09,0.32,6.843
2000-05-10,0.325,6.791
2000-05-11,0.317,6.808
2000-05-12,0.328,6.897
2000-05-15,0.334,6.845
2000-05-16,0.343,6.872
2000-05-17,0.357,6.898
2000-05-18,0.335,6.907
2000-05-19,0.335,6.839
2000-05-22,0.311,6.813
2000-05-23,0.314,6.787
2000-05-24,0.301,6.832
2000-05-25,0.304,6.709
2000-05-26,0.303,6.672
2000-05-29,0.305,
2000-05-30,0.333,6.731
2000-05-31,0.398,6.672
2000-06-01,0.411,6.587
2000-06-02,0.438,6.51
2000-06-05,0.476,6.492
2000-06-06,0.483,6.491
2000-06-07,0.477,6.534
2000-06-08,0.476,6.543
2000-06-09,0.441,6.542
2000-06-12,0.453,6.498
2000-06-13,0.448,6.481
2000-06-14,0.455,6.411
2000-06-15,0.434,6.42
2000-06-16,0.403,6.35
2000-06-19,0.397,6.384
2000-06-20,0.423,6.426
2000-06-21,0.457,6.496
2000-06-22,0.463,6.486
2000-06-23,0.473,6.538
2000-06-26,0.508,6.485
2000-06-27,0.509,6.494
2000-06-28,0.496,6.458
2000-06-29,0.513,6.354
2000-06-30,0.513,6.362
2000-07-03,0.508,6.293
2000-07-04,0.483,
2000-07-05,0.484,6.285
2000-07-06,0.471,6.335
2000-07-07,0.474,6.275
2000-07-10,0.474,6.3
2000-07-11,0.497,6.309
2000-07-12,0.513,6.326
2000-07-13,0.453,6.283
2000-07-14,0.454,6.394
2000-07-17,0.454,6.438
2000-07-18,0.435,6.429
2000-07-19,0.438,6.455
2000-07-20,,6.316
2000-07-21,0.439,6.324
2000-07-24,0.439,6.341
2000-07-25,0.438,6.332
2000-07-26,0.43,6.332
2000-07-27,0.416,6.262
2000-07-28,0.401,6.28
2000-07-31,0.396,6.288
2000-08-01,0.409,6.237
2000-08-02,0.409,6.22
2000-08-03,0.411,6.212
2000-08-04,0.405,6.135
2000-08-07,0.404,6.176
2000-08-08,0.428,6.16
2000-08-09,0.477,6.159
2000-08-10,0.502,6.159
2000-08-11,0.483,6.244
2000-08-14,0.492,6.227
2000-08-15,0.508,6.269
2000-08-16,0.523,6.286
2000-08-17,0.498,6.286
2000-08-18,0.504,6.252
2000-08-21,0.505,6.278
2000-08-22,0.52,6.26
2000-08-23,0.554,6.208
2000-08-24,0.559,6.188
2000-08-25,0.581,6.196
2000-08-28,0.595,6.222
2000-08-29,0.61,6.255
2000-08-30,0.599,6.231
2000-08-31,0.639,6.163
2000-09-01,0.665,6.078
2000-09-04,0.65,
2000-09-05,0.655,6.077
2000-09-06,0.664,6.103
