date,japan_cpi,japan_current_acct,,,,,,,,,
2000-01-31,-0.9,1251.3,,,,,,,,,
2000-02-29,-0.6,1212.2,,,,,,,,,
2000-03-31,-0.5,1035.8,,,,,,,,,
2000-04-30,-0.8,1248.1,,,,,,,,,
2000-05-31,-0.7,1189.1,,,,,,,,,
2000-06-30,-0.7,1370.7,,,,,,,,,
2000-07-31,-0.5,1241,,,,,,,,,
2000-08-31,-0.8,1337.8,,,,,,,,,
2000-09-30,-0.8,1136.3,,,,,,,,,
2000-10-31,-0.9,1083,,,,,,,,,
2000-11-30,-0.5,1107,,,,,,,,,
2000-12-31,-0.2,864.3,,,,,,,,,
2001-01-31,-0.3,852,,,,,,,,,
2001-02-28,-0.3,1022.2,,,,,,,,,
2001-03-31,-0.7,1013.2,,,,,,,,,
2001-04-30,-0.7,911.8,,,,,,,,,
2001-05-31,-0.7,602.3,,,,,,,,,
2001-06-30,-0.8,702.6,,,,,,,,,
2001-07-31,-0.8,743.2,,,,,,,,,
2001-08-31,-0.7,789.4,,,,,,,,,
2001-09-30,-0.8,949.4,,,,,,,,,
2001-10-31,-0.8,960.4,,,,,,,,,
2001-11-30,-1,1091,,,,,,,,,
2001-12-31,-1.2,934.6,,,,,,,,,
2002-01-31,-1.4,1133.6,,,,,,,,,
2002-02-28,-1.6,918.2,,,,,,,,,
2002-03-31,-1.2,1548.2,,,,,,,,,
2002-04-30,-1.1,1078.3,,,,,,,,,
2002-05-31,-0.9,1076.8,,,,,,,,,
2002-06-30,-0.7,1363.2,,,,,,,,,
2002-07-31,-0.8,1125.3,,,,,,,,,
2002-08-31,-0.9,1052.8,,,,,,,,,
2002-09-30,-0.7,1018.3,,,,,,,,,
2002-10-31,-0.9,1147.3,,,,,,,,,
2002-11-30,-0.4,1141.5,,,,,,,,,
2002-12-31,-0.3,1015.7,,,,,,,,,
2003-01-31,-0.4,1003.8,,,,,,,,,
2003-02-28,-0.2,998.9,,,,,,,,,
2003-03-31,-0.1,1155.7,,,,,,,,,
2003-04-30,-0.1,1316.8,,,,,,,,,
2003-05-31,-0.2,1467.2,,,,,,,,,
2003-06-30,-0.4,1298.5,,,,,,,,,
2003-07-31,-0.2,1463.7,,,,,,,,,
2003-08-31,-0.3,1447.2,,,,,,,,,
2003-09-30,-0.2,1502.4,,,,,,,,,
2003-10-31,0,1492.3,,,,,,,,,
2003-11-30,-0.5,1592.8,,,,,,,,,
2003-12-31,-0.4,1351.3,,,,,,,,,
2004-01-31,-0.3,1758.1,,,,,,,,,
2004-02-29,0,1709,,,,,,,,,
2004-03-31,-0.1,1448.8,,,,,,,,,
2004-04-30,-0.4,1721.6,,,,,,,,,
2004-05-31,-0.5,1874.1,,,,,,,,,
2004-06-30,0,1555.2,,,,,,,,,
2004-07-31,-0.1,1612,,,,,,,,,
2004-08-31,-0.2,1717.6,,,,,,,,,
2004-09-30,0,1572.3,,,,,,,,,
2004-10-31,0.5,1509.6,,,,,,,,,
2004-11-30,0.8,1497.5,,,,,,,,,
2004-12-31,0.2,1738.2,,,,,,,,,
2005-01-31,-0.1,1500.8,,,,,,,,,
2005-02-28,-0.3,1637.3,,,,,,,,,
2005-03-31,-0.2,1309.2,,,,,,,,,
2005-04-30,0,1641.6,,,,,,,,,
2005-05-31,0.2,1471.6,,,,,,,,,
2005-06-30,-0.5,1523,,,,,,,,,
2005-07-31,-0.3,1536.3,,,,,,,,,
2005-08-31,-0.3,1427.1,,,,,,,,,
2005-09-30,-0.3,1519,,,,,,,,,
